id,doi,title,authors,journal,abstract,keywords,publication_date,url,pdf_url,download_path,original_url,pdf_md5,created_at,updated_at
312,10.1038/s41563-020-0683-y,"Radiation-induced segregation in a ceramic","Xing Wang, Hongliang Zhang, Tomonori Baba, Hao Jiang, Cheng Liu, Yingxin Guan, Omar Elleuch, Thomas Kuech, Dane Morgan, Juan-Carlos Idrobo, Paul M. Voyles, Izabela Szlufarska","Nature Materials","Radiation-induced segregation is well known in metals, but has been rarely studied in ceramics. We discover that radiation can induce notable segregation of one of the constituent elements to grain boundaries in a ceramic, despite the fact that the ceramic forms a line compound and therefore has a strong thermodynamic driving force to resist off-stoichiometry. Specifically, irradiation of silicon carbide at 300 °C leads to carbon enrichment near grain boundaries, whereas the enrichment diminishes for irradiation at 600 °C. The temperature dependence of this radiation-induced segregation is different from that shown in metallic systems. Using an ab initio informed rate theory model, we demonstrate that this difference is introduced by the unique defect energy landscapes present in the covalent system. Additionally, we discover that grain boundaries in unirradiated silicon carbide grown by chemical vapour deposition are intrinsically carbon-depleted. The inherent grain boundary chemistry and its evolution under radiation are both critical for understanding the many properties of ceramics associated with grain boundaries.","Ceramics, Coarse-grained models, Mechanical properties, Transmission electron microscopy",2020-05-25,https://nature.f.33tsg.xyz/articles/s41563-020-0683-y,https://nature.f.33tsg.xyz/articles/s41563-020-0683-y.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Radiation-induced segregation in a ceramic.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
313,10.1038/ncomms11637,"A method for controlling the synthesis of stable twisted two-dimensional conjugated molecules","Yongjun Li, Zhiyu Jia, Shengqiang Xiao, Huibiao Liu, Yuliang Li","Nature Communications","Thermodynamic stabilization (π-electron delocalization through effective conjugation) and kinetic stabilization (blocking the most-reactive sites) are important considerations when designing stable polycyclic aromatic hydrocarbons displaying tunable optoelectronic properties. Here, we demonstrate an efficient method for preparing a series of stable two-dimensional (2D) twisted dibenzoterrylene-acenes. We investigated their electronic structures and geometries in the ground state through various experiments assisted by calculations using density functional theory. We find that the length of the acene has a clear effect on the photophysical, electrochemical, and magnetic properties. These molecules exhibit tunable ground-state structures, in which a stable open-shell quintet tetraradical can be transferred to triplet diradicals. Such compounds are promising candidates for use in nonlinear optics, field effect transistors and organic spintronics; furthermore, they may enable broader applications of 2D small organic molecules in high-performance electronic and optical devices.","Chemical physics, Organic chemistry, Chemical synthesis",2016-05-16,https://nature.f.33tsg.xyz/articles/ncomms11637,https://nature.f.33tsg.xyz/articles/ncomms11637.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/A method for controlling the synthesis of stable twisted two-dimensional conjugated molecules.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
314,10.1038/s41598-024-77224-w,"First evidence of early neolithic archery from Cueva de los Murciélagos (Albuñol, Granada) revealed through combined chemical and morphological analysis","Ingrid Bertin, María Martín-Seijo, Francisco Martínez-Sevilla, Krista McGrath, Jonathan Santana, Maria Herrero-Otal, Rafael M. Martínez Sánchez, Antoni Palomo, Martine Regert, Isabelle Théry, Raquel Piqué","Scientific Reports","The extraordinary preservation of Cueva de Los Murciélagos (Albuñol, Spain) provides a unique opportunity to identify the materials and the techniques involved in archery during the Early Neolithic period. Arrows with preserved feathers, tied fibres, adhesive substance, and two probable bowstrings have been studied trough an unprecedented multi-proxy investigation, including microscopy and biomolecular methods, to unravel archery techniques. The study has identified the oldest known sinew bowstrings, the first evidence for the use of olive tree (Olea europaea) and reed (Phragmites sp.) to produce arrow shafts in prehistoric European archery, and the identification of birch bark tar as a coating on the shafts. The results of this study provide insights into ancient craft, technological solutions, and adaptations to local resources in the production of these reed-shafted hardwood tipped arrows and bowstrings. Their deposition in a burial cave sheds new light on the role of these artefacts in a Neolithic farming community.","Chemistry, Materials science",2024-12-05,https://nature.f.33tsg.xyz/articles/s41598-024-77224-w,https://nature.f.33tsg.xyz/articles/s41598-024-77224-w.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/First evidence of early neolithic archery from Cueva de los Murciélagos (Albuñol, Granada) revealed through combined chemical and morphological analysis.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
315,10.1038/s41467-023-42840-z,"Peculiar transient behaviors of organic electrochemical transistors governed by ion injection directionality","Ji Hwan Kim, Roman Halaksa, Il-Young Jo, Hyungju Ahn, Peter A. Gilhooly-Finn, Inho Lee, Sungjun Park, Christian B. Nielsen, Myung-Han Yoon","Nature Communications","Despite the growing interest in dynamic behaviors at the frequency domain, there exist very few studies on molecular orientation-dependent transient responses of organic mixed ionic–electronic conductors. In this research, we investigated the effect of ion injection directionality on transient electrochemical transistor behaviors by developing a model mixed conductor system. Two polymers with similar electrical, ionic, and electrochemical characteristics but distinct backbone planarities and molecular orientations were successfully synthesized by varying the co-monomer unit (2,2’-bithiophene or phenylene) in conjunction with a novel 1,4-dithienylphenylene-based monomer. The comprehensive electrochemical analysis suggests that the molecular orientation affects the length of the ion-drift pathway, which is directly correlated with ion mobility, resulting in peculiar OECT transient responses. These results provide the general insight into molecular orientation-dependent ion movement characteristics as well as high-performance device design principles with fine-tuned transient responses.","Electronic devices, Electronic materials",2023-11-28,https://nature.f.33tsg.xyz/articles/s41467-023-42840-z,https://nature.f.33tsg.xyz/articles/s41467-023-42840-z.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Peculiar transient behaviors of organic electrochemical transistors governed by ion injection directionality.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
316,10.1038/s41467-023-43608-1,"Directing polymorph specific calcium carbonate formation with de novo protein templates","Fatima A. Davila-Hernandez, Biao Jin, Harley Pyles, Shuai Zhang, Zheming Wang, Timothy F. Huddy, Asim K. Bera, Alex Kang, Chun-Long Chen, James J. De Yoreo, David Baker","Nature Communications","Biomolecules modulate inorganic crystallization to generate hierarchically structured biominerals, but the atomic structure of the organic-inorganic interfaces that regulate mineralization remain largely unknown. We hypothesized that heterogeneous nucleation of calcium carbonate could be achieved by a structured flat molecular template that pre-organizes calcium ions on its surface. To test this hypothesis, we design helical repeat proteins (DHRs) displaying regularly spaced carboxylate arrays on their surfaces and find that both protein monomers and protein-Ca2+ supramolecular assemblies directly nucleate nano-calcite with non-natural {110} or {202} faces while vaterite, which forms first in the absence of the proteins, is bypassed. These protein-stabilized nanocrystals then assemble by oriented attachment into calcite mesocrystals. We find further that nanocrystal size and polymorph can be tuned by varying the length and surface chemistry of the designed protein templates. Thus, bio-mineralization can be programmed using de novo protein design, providing a route to next-generation hybrid materials.","Biomineralization, Chemical physics, Protein design",2023-12-14,https://nature.f.33tsg.xyz/articles/s41467-023-43608-1,https://nature.f.33tsg.xyz/articles/s41467-023-43608-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Directing polymorph specific calcium carbonate formation with de novo protein templates.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
317,10.1038/s41467-021-26368-8,"Normal & reversed spin mobility in a diradical by electron-vibration coupling","Yi Shen, Guodong Xue, Yasi Dai, Sergio Moles Quintero, Hanjiao Chen, Dongsheng Wang, Fang Miao, Fabrizia Negri, Yonghao Zheng, Juan Casado","Nature Communications","π−conjugated radicals have great promise for use in organic spintronics, however, the mechanisms of spin relaxation and mobility related to radical structural flexibility remain unexplored. Here, we describe a dumbbell shape azobenzene diradical and correlate its solid-state flexibility with spin relaxation and mobility. We employ a combination of X-ray diffraction and Raman spectroscopy to determine the molecular changes with temperature. Heating leads to: i) a modulation of the spin distribution; and ii) a “normal” quinoidal → aromatic transformation at low temperatures driven by the intramolecular rotational vibrations of the azobenzene core and a “reversed” aromatic → quinoidal change at high temperatures activated by an azobenzene bicycle pedal motion amplified by anisotropic intermolecular interactions. Thermal excitation of these vibrational states modulates the diradical electronic and spin structures featuring vibronic coupling mechanisms that might be relevant for future design of high spin organic molecules with tunable magnetic properties for solid state spintronics.","Chemical physics, Electronic devices",2021-10-29,https://nature.f.33tsg.xyz/articles/s41467-021-26368-8,https://nature.f.33tsg.xyz/articles/s41467-021-26368-8.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Normal & reversed spin mobility in a diradical by electron-vibration coupling.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
318,10.1038/s41557-019-0341-7,"Planar three-coordinate iron sulfide in a synthetic [4Fe-3S] cluster with biomimetic reactivity","Daniel E. DeRosha, Vijay G. Chilkuri, Casey Van Stappen, Eckhard Bill, Brandon Q. Mercado, Serena DeBeer, Frank Neese, Patrick L. Holland","Nature Chemistry","Iron–sulfur clusters are emerging as reactive sites for the reduction of small-molecule substrates. However, the four-coordinate iron sites of typical iron–sulfur clusters rarely react with substrates, implicating three-coordinate iron. This idea is untested because fully sulfide-coordinated three-coordinate iron is unprecedented. Here we report a new type of [4Fe-3S] cluster that features an iron centre with three bonds to sulfides, and characterize examples of the cluster in three oxidation levels using crystallography, spectroscopy, and ab initio calculations. Although a high-spin electronic configuration is characteristic of other iron–sulfur clusters, the three-coordinate iron centre in these clusters has a surprising low-spin electronic configuration due to the planar geometry and short Fe-S bonds. In a demonstration of biomimetic reactivity, the [4Fe-3S] cluster reduces hydrazine, a natural substrate of nitrogenase. The product is the first example of NH2 bound to an iron–sulfur cluster. Our results demonstrate that three-coordinate iron supported by sulfide donors is a plausible precursor to reactivity in iron–sulfur clusters like the FeMoco of nitrogenase.","Biomimetic synthesis, Coordination chemistry, Crystal field theory, Metalloproteins",2019-10-14,https://nature.f.33tsg.xyz/articles/s41557-019-0341-7,https://nature.f.33tsg.xyz/articles/s41557-019-0341-7.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Planar three-coordinate iron sulfide in a synthetic [4Fe-3S] cluster with biomimetic reactivity.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
319,10.1038/s41467-022-31281-9,"An unexpected dual-emissive luminogen with tunable aggregation-induced emission and enhanced chiroptical property","Xinyu Zhang, Huiqing Liu, Guilin Zhuang, Shangfeng Yang, Pingwu Du","Nature Communications","In the literature, organic materials with both aggregation-induced emission (AIE) and aggregation-caused quenching (ACQ) effects that can emit with multiple bands both in the solution and aggregated state are rarely reported. Herein we report a novel chiral dual-emissive bismacrocycle with tunable aggregation-induced emission colors. A facile four-step synthesis strategy is developed to construct this rigid bismacrocycle, (1,4)[8]cycloparaphenylenophane (SCPP[8]), which possesses a 1,2,4,5-tetraphenylbenzene core locked by two intersecting polyphenylene-based macrocycles. The luminescent behavior of SCPP[8] shows the unique characteristics of both ACQ effect and AIE effect, inducing remarkable redshift emission with near white-light emission. SCPP[8] is configurationally stable and possesses a novel shape-persistent bismacrocycle scaffold with a high strain energy. In addition, SCPP[8] displays enhanced circularly polarized luminescence properties due to AIE effect.","Interlocked molecules, Synthetic chemistry methodology, Optical materials",2022-06-21,https://nature.f.33tsg.xyz/articles/s41467-022-31281-9,https://nature.f.33tsg.xyz/articles/s41467-022-31281-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/An unexpected dual-emissive luminogen with tunable aggregation-induced emission and enhanced chiroptical property.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
320,10.1038/ncomms8009,"Supramolecular block copolymers by kinetically controlled co-self-assembly of planar and core-twisted perylene bisimides","Daniel Görl, Xin Zhang, Vladimir Stepanenko, Frank Würthner","Nature Communications","New synthetic methodologies for the formation of block copolymers have revolutionized polymer science within the last two decades. However, the formation of supramolecular block copolymers composed of alternating sequences of larger block segments has not been realized yet. Here we show by transmission electron microscopy (TEM), 2D NMR and optical spectroscopy that two different perylene bisimide dyes bearing either a flat (A) or a twisted (B) core self-assemble in water into supramolecular block copolymers with an alternating sequence of (AmBB)n. The highly defined ultralong nanowire structure of these supramolecular copolymers is entirely different from those formed upon self-assembly of the individual counterparts, that is, stiff nanorods (A) and irregular nanoworms (B), respectively. Our studies further reveal that the as-formed supramolecular block copolymer constitutes a kinetic self-assembly product that transforms into thermodynamically more stable self-sorted homopolymers upon heating.","Molecular self-assembly, Organic chemistry, Supramolecular chemistry",2015-05-11,https://nature.f.33tsg.xyz/articles/ncomms8009,https://nature.f.33tsg.xyz/articles/ncomms8009.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Supramolecular block copolymers by kinetically controlled co-self-assembly of planar and core-twisted perylene bisimides.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
321,10.1038/ncomms9406,"Sunlight-powered kHz rotation of a hemithioindigo-based molecular motor","Manuel Guentner, Monika Schildhauer, Stefan Thumser, Peter Mayer, David Stephenson, Peter J. Mayer, Henry Dube","Nature Communications","Photodriven molecular motors are able to convert light energy into directional motion and hold great promise as miniaturized powering units for future nanomachines. In the current state of the art, considerable efforts have still to be made to increase the efficiency of energy transduction and devise systems that allow operation in ambient and non-damaging conditions with high rates of directional motions. The need for ultraviolet light to induce the motion of virtually all available light-driven motors especially hampers the broad applicability of these systems. We describe here a hemithioindigo-based molecular motor, which is powered exclusively by nondestructive visible light (up to 500 nm) and rotates completely directionally with kHz frequency at 20 °C. This is the fastest directional motion of a synthetic system driven by visible light to date permitting materials and biocompatible irradiation conditions to establish similarly high speeds as natural molecular motors.","Molecular machines and motors, Organic chemistry, Physical chemistry",2015-09-28,https://nature.f.33tsg.xyz/articles/ncomms9406,https://nature.f.33tsg.xyz/articles/ncomms9406.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Sunlight-powered kHz rotation of a hemithioindigo-based molecular motor.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
322,10.1038/s42004-024-01396-9,"Neutral 4π-electron tetrasilacyclobutadiene contains unusual features of a Möbius-type aromatic ring","Mohd Nazish, Tim Patten, Yuqing Huang, Saroj Kumar Kushvaha, Lili Zhao, Anna Krawczuk, Gernot Frenking, Herbert W. Roesky","Communications Chemistry","The search for stable compounds containing an antiaromatic cyclic 4π system is a challenge for inventive chemists that can look back on a long history. Here we report the isolation and characterization of the novel 4π-electron tetrasilacyclobutadiene, an analogue of a 4π neutral cyclobutadiene that exhibits surprising features of a Möbius-type aromatic ring. Reduction of RSiCl3 (R = (iPr)2PC6H4) with KC8 in the presence of cycloalkyl amino-carbene (cAAC) led to the formation of corresponding silylene 1. Compound 1 shows further reactivity when treated with RSiCl3 under reducing conditions resulting in the formation of unsymmetrical bis-silylene 2, which was isolated as a dark red crystalline solid. Compound 3 was obtained when chlorosilylene was reduced with potassium graphite in the presence of 2. Although 3 is, according to Hückel’s rule an antiaromatic system it possesses significant aromatic character due to the unusual delocalization of the HOMO-1 and the loss of degeneracy of the higher-lying π MOs. The aromatic character of 3 is indicated by the structural stability of the compound by the very similar Si-Si bond lengths and by the NICS values. There is an unusual π conjugation between the 4 π electrons in the nearly square-planar Si4 ring where the delocalization of the HOMO-1 occurs at two opposite sides of the ring. The reversal of the π conjugation resembles the twisting of the π conjugation in Möbius aromatic systems and it contributes to the stability of the compound.","Chemical bonding, Optical spectroscopy",2024-12-28,https://nature.f.33tsg.xyz/articles/s42004-024-01396-9,https://nature.f.33tsg.xyz/articles/s42004-024-01396-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Neutral 4π-electron tetrasilacyclobutadiene contains unusual features of a Möbius-type aromatic ring.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
323,10.1038/s41467-023-43357-1,"Enhanced copper anticorrosion from Janus-doped bilayer graphene","Mengze Zhao, Zhibin Zhang, Wujun Shi, Yiwei Li, Chaowu Xue, Yuxiong Hu, Mingchao Ding, Zhiqun Zhang, Zhi Liu, Ying Fu, Can Liu, Muhong Wu, Zhongkai Liu, Xin-Zheng Li, Zhu-Jun Wang, Kaihui Liu","Nature Communications","The atomic-thick anticorrosion coating for copper (Cu) electrodes is essential for the miniaturisation in the semiconductor industry. Graphene has long been expected to be the ultimate anticorrosion material, however, its real anticorrosion performance is still under great controversy. Specifically, strong electronic couplings can limit the interfacial diffusion of corrosive molecules, whereas they can also promote the surficial galvanic corrosion. Here, we report the enhanced anticorrosion for Cu simply via a bilayer graphene coating, which provides protection for more than 5 years at room temperature and 1000 h at 200 °C. Such excellent anticorrosion is attributed to a nontrivial Janus-doping effect in bilayer graphene, where the heavily doped bottom layer forms a strong interaction with Cu to limit the interfacial diffusion, while the nearly charge neutral top layer behaves inertly to alleviate the galvanic corrosion. Our study will likely expand the application scenarios of Cu under various extreme operating conditions.","Corrosion, Graphene",2023-11-17,https://nature.f.33tsg.xyz/articles/s41467-023-43357-1,https://nature.f.33tsg.xyz/articles/s41467-023-43357-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Enhanced copper anticorrosion from Janus-doped bilayer graphene.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
324,10.1038/s41557-022-00892-6,"Quantum–classical simulations of rhodopsin reveal excited-state population splitting and its effects on quantum efficiency","Xuchun Yang, Madushanka Manathunga, Samer Gozem, Jérémie Léonard, Tadeusz Andruniów, Massimo Olivucci","Nature Chemistry","The activation of rhodopsin, the light-sensitive G-protein-coupled receptor responsible for dim-light vision in vertebrates, is driven by an ultrafast excited-state double-bond isomerization with a quantum efficiency of almost 70%. The origin of such light sensitivity is not understood and a key question is whether in-phase nuclear motion controls the quantum efficiency value. In this study we used hundreds of quantum–classical trajectories to show that, 15 fs after light absorption, a degeneracy between the reactive excited state and a neighbouring state causes the splitting of the rhodopsin population into subpopulations. These subpopulations propagate with different velocities and lead to distinct contributions to the quantum efficiency. We also show here that such splitting is modulated by protein electrostatics, thus linking amino acid sequence variations to quantum efficiency modulation. Finally, we discuss how such a linkage that in principle could be exploited to achieve higher quantum efficiencies would simultaneously increase the receptor thermal noise leading to a trade-off that may have played a role in rhodopsin evolution.","Computational chemistry, Photobiology",2022-03-03,https://nature.f.33tsg.xyz/articles/s41557-022-00892-6,https://nature.f.33tsg.xyz/articles/s41557-022-00892-6.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Quantum–classical simulations of rhodopsin reveal excited-state population splitting and its effects on quantum efficiency.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
325,10.1038/s41467-022-30989-y,"Biomimetic non-classical crystallization drives hierarchical structuring of efficient circularly polarized phosphors","Li-Zhe Feng, Jing-Jing Wang, Tao Ma, Yi-Chen Yin, Kuang-Hui Song, Zi-Du Li, Man-Man Zhou, Shan Jin, Taotao Zhuang, Feng-Jia Fan, Man-Zhou Zhu, Hong-Bin Yao","Nature Communications","Hierarchically structured chiral luminescent materials hold promise for achieving efficient circularly polarized luminescence. However, a feasible chemical route to fabricate hierarchically structured chiral luminescent polycrystals is still elusive because of their complex structures and complicated formation process. We here report a biomimetic non-classical crystallization (BNCC) strategy for preparing efficient hierarchically structured chiral luminescent polycrystals using well-designed highly luminescent homochiral copper(I)-iodide hybrid clusters as basic units for non-classical crystallization. By monitoring the crystallization process, we unravel the BNCC mechanism, which involves crystal nucleation, nanoparticles aggregation, oriented attachment, and mesoscopic transformation processes. We finally obtain the circularly polarized phosphors with both high luminescent efficiency of 32% and high luminescent dissymmetry factor of 1.5 × 10−2, achieving the demonstration of a circularly polarized phosphor converted light emitting diode with a polarization degree of 1.84% at room temperature. Our designed BNCC strategy provides a simple, reliable, and large-scale synthetic route for preparing bright circularly polarized phosphors.","Optical materials, Organic–inorganic nanostructures, Self-assembly, Synthesis and processing",2022-06-09,https://nature.f.33tsg.xyz/articles/s41467-022-30989-y,https://nature.f.33tsg.xyz/articles/s41467-022-30989-y.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Biomimetic non-classical crystallization drives hierarchical structuring of efficient circularly polarized phosphors.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
326,10.1038/s41567-022-01698-6,"Topological nature of the liquid–liquid phase transition in tetrahedral liquids","Andreas Neophytou, Dwaipayan Chakrabarti, Francesco Sciortino","Nature Physics","The first-order phase transition between two tetrahedral networks of different density—introduced as a hypothesis to account for the anomalous behaviour of certain thermodynamic properties of deeply supercooled water—has received strong support from a growing body of work in recent years. Here we show that this liquid–liquid phase transition in tetrahedral networks can be described as a transition between an unentangled, low-density liquid and an entangled, high-density liquid, the latter containing an ensemble of topologically complex motifs. We first reveal this distinction in a rationally designed colloidal analogue of water. We show that this colloidal water model displays the well-known water thermodynamic anomalies as well as a liquid–liquid critical point. We then investigate water, employing two widely used molecular models, to demonstrate that there is also a clear topological distinction between its two supercooled liquid networks, thereby establishing the generality of this observation, which might have far-reaching implications for understanding liquid–liquid phase transitions in tetrahedral liquids.","Molecular dynamics, Phase transitions and critical phenomena, Structure of solids and liquids",2022-08-11,https://nature.f.33tsg.xyz/articles/s41567-022-01698-6,https://nature.f.33tsg.xyz/articles/s41567-022-01698-6.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Topological nature of the liquid–liquid phase transition in tetrahedral liquids.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
327,10.1038/s41563-023-01670-6,"Long-term stability of aerophilic metallic surfaces underwater","Alexander B. Tesler, Stefan Kolle, Lucia H. Prado, Ingo Thievessen, David Böhringer, Matilda Backholm, Bhuvaneshwari Karunakaran, Heikki A. Nurmi, Mika Latikka, Lena Fischer, Shane Stafslien, Zoran M. Cenev, Jaakko V. I. Timonen, Mark Bruns, Anca Mazare, Ulrich Lohbauer, Sannakaisa Virtanen, Ben Fabry, Patrik Schmuki, Robin H. A. Ras, Joanna Aizenberg, Wolfgang H. Goldmann","Nature Materials","Aerophilic surfaces immersed underwater trap films of air known as plastrons. Plastrons have typically been considered impractical for underwater engineering applications due to their metastable performance. Here, we describe aerophilic titanium alloy (Ti) surfaces with extended plastron lifetimes that are conserved for months underwater. Long-term stability is achieved by the formation of highly rough hierarchically structured surfaces via electrochemical anodization combined with a low-surface-energy coating produced by a fluorinated surfactant. Aerophilic Ti surfaces drastically reduce blood adhesion and, when submerged in water, prevent adhesion of bacteria and marine organisms such as barnacles and mussels. Overall, we demonstrate a general strategy to achieve the long-term stability of plastrons on aerophilic surfaces for previously unattainable underwater applications.","Surface chemistry, Surfaces, interfaces and thin films",2023-09-18,https://nature.f.33tsg.xyz/articles/s41563-023-01670-6,https://nature.f.33tsg.xyz/articles/s41563-023-01670-6.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Long-term stability of aerophilic metallic surfaces underwater.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
328,10.1038/s41467-020-19677-x,"Highly efficient synthesis of non-planar macrocycles possessing intriguing self-assembling behaviors and ethene/ethyne capture properties","Lijun Mao, Yang Hu, Qian Tu, Wei-Ling Jiang, Xiao-Li Zhao, Wenjing Wang, Daqiang Yuan, Jin Wen, Xueliang Shi","Nature Communications","It has been a challenging topic and perpetual task to design and synthesize covalent macrocycles with characteristic self-assembling behaviors and excellent host-guest properties in supramolecular chemistry. Herein, we present a family of macrocyclic diphenylamine[n]arenes (DPA[n]s, n = 3–7) consisting of methyldiphenylamine units through a facile one-pot synthesis strategy. Unlike many other reported macrocyclic arenes, the resultant non-planar DPA[n]s feature intrinsic π-π stacking interactions, interesting self-assembling behaviors and ethene/ethyne capture properties. Specifically, strong multiple intermolecular edge-to-face aromatic interactions in DPA[3] have been systematically investigated both in solid and solution states. The intriguing findings on the intermolecular edge-to-face stacking interaction mode in the macrocycle would further highlight the importance of noncovalent π-π interaction in supramolecular self-assembly. This study will also shed light on the macrocyclic and supramolecular chemistry and, we expect, will provide a direction for design and synthesis of covalent macrocycles in this area.","Interlocked molecules, Self-assembly",2020-11-16,https://nature.f.33tsg.xyz/articles/s41467-020-19677-x,https://nature.f.33tsg.xyz/articles/s41467-020-19677-x.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Highly efficient synthesis of non-planar macrocycles possessing intriguing self-assembling behaviors and ethene_ethyne capture properties.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
329,10.1038/s41557-021-00707-0,"SARS-CoV-2 simulations go exascale to predict dramatic spike opening and cryptic pockets across the proteome","Maxwell I. Zimmerman, Justin R. Porter, Michael D. Ward, Sukrit Singh, Neha Vithani, Artur Meller, Upasana L. Mallimadugula, Catherine E. Kuhn, Jonathan H. Borowsky, Rafal P. Wiewiora, Matthew F. D. Hurley, Aoife M. Harbison, Carl A. Fogarty, Joseph E. Coffland, Elisa Fadda, Vincent A. Voelz, John D. Chodera, Gregory R. Bowman","Nature Chemistry","SARS-CoV-2 has intricate mechanisms for initiating infection, immune evasion/suppression and replication that depend on the structure and dynamics of its constituent proteins. Many protein structures have been solved, but far less is known about their relevant conformational changes. To address this challenge, over a million citizen scientists banded together through the Folding@home distributed computing project to create the first exascale computer and simulate 0.1 seconds of the viral proteome. Our adaptive sampling simulations predict dramatic opening of the apo spike complex, far beyond that seen experimentally, explaining and predicting the existence of ‘cryptic’ epitopes. Different spike variants modulate the probabilities of open versus closed structures, balancing receptor binding and immune evasion. We also discover dramatic conformational changes across the proteome, which reveal over 50 ‘cryptic’ pockets that expand targeting options for the design of antivirals. All data and models are freely available online, providing a quantitative structural atlas.","Computational biophysics, Molecular dynamics, Protein folding, Structural biology, Viral proteins",2021-05-24,https://nature.f.33tsg.xyz/articles/s41557-021-00707-0,https://nature.f.33tsg.xyz/articles/s41557-021-00707-0.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/SARS-CoV-2 simulations go exascale to predict dramatic spike opening and cryptic pockets across the proteome.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
330,10.1038/s41467-023-41170-4,"Cold-programmed shape-morphing structures based on grayscale digital light processing 4D printing","Liang Yue, Xiaohao Sun, Luxia Yu, Mingzhe Li, S. Macrae Montgomery, Yuyang Song, Tsuyoshi Nomura, Masato Tanaka, H. Jerry Qi","Nature Communications","Shape-morphing structures that can reconfigure their shape to adapt to diverse tasks are highly desirable for intelligent machines in many interdisciplinary fields. Shape memory polymers are one of the most widely used stimuli-responsive materials, especially in 3D/4D printing, for fabricating shape-morphing systems. They typically go through a hot-programming step to obtain the shape-morphing capability, which possesses limited freedom of reconfigurability. Cold-programming, which directly deforms the structure into a temporary shape without increasing the temperature, is simple and more versatile but has stringent requirements on material properties. Here, we introduce grayscale digital light processing (g-DLP) based 3D printing as a simple and effective platform for fabricating shape-morphing structures with cold-programming capabilities. With the multimaterial-like printing capability of g-DLP, we develop heterogeneous hinge modules that can be cold-programmed by simply stretching at room temperature. Different configurations can be encoded during 3D printing with the variable distribution and direction of the modular-designed hinges. The hinge module allows controllable independent morphing enabled by cold programming. By leveraging the multimaterial-like printing capability, multi-shape morphing structures are presented. The g-DLP printing with cold-programming morphing strategy demonstrates enormous potential in the design and fabrication of shape-morphing structures.","Organic molecules in materials science, Polymers",2023-09-08,https://nature.f.33tsg.xyz/articles/s41467-023-41170-4,https://nature.f.33tsg.xyz/articles/s41467-023-41170-4.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Cold-programmed shape-morphing structures based on grayscale digital light processing 4D printing.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
